,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 01:03:44.015000,VER,1,0 days 00:01:30.342000,1.0,1.0,0 days 00:25:41.090000,,,18.652,36.822,,0 days 01:03:07.261000,0 days 01:03:44.084000,270.0,295.0,282.0,238.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:02:13.396000,2022-04-10 05:03:13.407,1,2.0,False,,False,False,90.342,
1,0 days 01:05:08.846000,VER,1,0 days 00:01:24.831000,2.0,1.0,,,29.719,18.536,36.576,0 days 01:04:13.710000,0 days 01:04:32.246000,0 days 01:05:08.822000,263.0,297.0,283.0,278.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:03:44.015000,2022-04-10 05:04:44.026,2,2.0,False,,False,True,84.831,84.831
2,0 days 01:06:55.021000,VER,1,0 days 00:01:46.175000,3.0,1.0,,,29.54,27.197,49.438,0 days 01:05:38.362000,0 days 01:06:05.559000,0 days 01:06:54.997000,266.0,179.0,255.0,279.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 01:05:08.846000,2022-04-10 05:06:08.857,264,2.0,False,,False,False,106.175,106.175
3,0 days 01:09:09.293000,VER,1,0 days 00:02:14.272000,4.0,1.0,,,40.308,30.646,63.318,0 days 01:07:35.305000,0 days 01:08:05.951000,0 days 01:09:09.269000,165.0,161.0,213.0,252.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:06:55.021000,2022-04-10 05:07:55.032,4,2.0,False,,False,False,134.272,134.272
4,0 days 01:11:22.822000,VER,1,0 days 00:02:13.529000,5.0,1.0,,,44.387,30.247,58.895,0 days 01:09:53.656000,0 days 01:10:23.903000,0 days 01:11:22.798000,192.0,191.0,239.0,236.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:09:09.293000,2022-04-10 05:10:09.304,4,2.0,False,,False,False,133.529,133.529
5,0 days 01:13:46.886000,VER,1,0 days 00:02:24.064000,6.0,1.0,,,44.76,31.637,67.667,0 days 01:12:07.558000,0 days 01:12:39.195000,0 days 01:13:46.862000,163.0,190.0,284.0,152.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:11:22.822000,2022-04-10 05:12:22.833,4,2.0,False,,False,False,144.064,144.064
6,0 days 01:15:11.053000,VER,1,0 days 00:01:24.167000,7.0,1.0,,,29.265,18.606,36.296,0 days 01:14:16.127000,0 days 01:14:34.733000,0 days 01:15:11.029000,271.0,294.0,284.0,293.0,True,MEDIUM,7.0,True,Red Bull Racing,0 days 01:13:46.886000,2022-04-10 05:14:46.897,1,2.0,False,,False,False,84.167,84.167
7,0 days 01:16:35.019000,VER,1,0 days 00:01:23.966000,8.0,1.0,,,29.356,18.449,36.161,0 days 01:15:40.385000,0 days 01:15:58.834000,0 days 01:16:34.995000,265.0,299.0,283.0,283.0,True,MEDIUM,8.0,True,Red Bull Racing,0 days 01:15:11.053000,2022-04-10 05:16:11.064,1,2.0,False,,False,True,83.966,83.96600000000001
8,0 days 01:17:58.799000,VER,1,0 days 00:01:23.780000,9.0,1.0,,,29.161,18.447,36.172,0 days 01:17:04.156000,0 days 01:17:22.603000,0 days 01:17:58.775000,,295.0,283.0,285.0,True,MEDIUM,9.0,True,Red Bull Racing,0 days 01:16:35.019000,2022-04-10 05:17:35.030,1,2.0,False,,False,True,83.78,83.78
9,0 days 01:19:22.553000,VER,1,0 days 00:01:23.754000,10.0,1.0,,,29.252,18.483,36.019,0 days 01:18:28.027000,0 days 01:18:46.510000,0 days 01:19:22.529000,263.0,294.0,284.0,281.0,True,MEDIUM,10.0,True,Red Bull Racing,0 days 01:17:58.799000,2022-04-10 05:18:58.810,1,2.0,False,,False,True,83.754,83.75399999999999
